feature
customer_geolocation_lat
order_purchase_timestamp_month
freight_value
customer_geolocation_lng
customer_geolocation_zip_code_prefix
customer_zip_code_prefix
review_score
seller_geolocation_lng
seller_zip_code_prefix
seller_geolocation_zip_code_prefix
seller_geolocation_lat
payment_value
order_purchase_timestamp_year
price
product_weight_g
order_purchase_timestamp_day
product_height_cm
product_width_cm
product_length_cm
order_purchase_timestamp_dayofweek
